"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OPRM1",2.26997113682294e-05,0.4148993269708,0.362,0.187,0.830832135788564
"NOL4L",2.28219772896647e-05,0.463483722300894,0.375,0.207,0.835307190779018
"TBC1D4",2.28397623051141e-05,0.414737996787739,0.295,0.14,0.835958140129481
"FBXL5",2.57518407442473e-05,0.411973766058448,0.806,0.707,0.942543123080194
"SUCLG2",2.71774641420543e-05,0.376267414599289,0.694,0.547,0.99472236506333
"ATM",2.72108783089457e-05,0.286382350585973,0.888,0.813,0.995945356985721
"IPCEF1",2.92313028445216e-05,0.411903529759714,0.687,0.507,1
"CYB561A3",2.93308779724912e-05,-0.335302503526123,0.134,0.273,1
"RPS23",2.97444697819635e-05,-0.492813191550483,0.901,0.96,1
"TRAF5",3.19357685700066e-05,-0.328397248661792,0.176,0.327,1
"WWP1",3.34677273528783e-05,0.321767379325144,0.604,0.4,1
"HELB",3.40995076723306e-05,0.332556004882354,0.441,0.247,1
"RUNX1",3.61854427731974e-05,0.327656103610353,0.946,0.86,1
"DIP2A",3.68812256793608e-05,0.358899155380822,0.58,0.413,1
"PLCG2",3.72974035529136e-05,-0.352964675918253,0.863,0.88,1
"EZR",3.80046887169638e-05,-0.351647732288845,0.612,0.733,1
"ANKAR",3.98422566257319e-05,-0.371734039693271,0.194,0.34,1
"SMAD2",3.99719973169297e-05,0.35893176561182,0.591,0.413,1
"HPCAL1",4.00933759196157e-05,0.384954121125806,0.546,0.38,1
"ID2",4.08302769654609e-05,0.425572381293497,0.537,0.34,1
"RCAN3",4.11220810584566e-05,0.323886105103599,0.419,0.227,1
"N4BP1",4.20271182321879e-05,0.399491386904112,0.526,0.367,1
"NHSL2",4.28765480126178e-05,0.305626144001927,0.279,0.12,1
"DPYD",4.31715197644705e-05,0.265687086325498,0.993,1,1
"DIPK1A",4.40678688171153e-05,-0.366249765208924,0.309,0.487,1
"HDAC9",4.52738450848613e-05,-0.319665217878346,0.765,0.847,1
"MTMR1",4.60116448685817e-05,-0.33921474925984,0.322,0.487,1
"TPST2",4.61187533150328e-05,0.331663275006108,0.324,0.153,1
"PARP15",4.63231900986913e-05,-0.412420512139392,0.261,0.413,1
"MOB3B",4.63361196379016e-05,-0.493772324933373,0.249,0.393,1
"ISG20",4.64870692989748e-05,-0.4383058718958,0.355,0.527,1
"TSPAN14",4.66905095454919e-05,0.379261117133787,0.619,0.44,1
"ATXN1",4.77794352290431e-05,0.448899878265071,0.821,0.733,1
"RBMS1",4.78003401820552e-05,0.40416381316088,0.819,0.733,1
"ARID5B",4.81594008691321e-05,-0.392871966687762,0.578,0.72,1
"ATP2B4",5.01987562396172e-05,0.405538017680548,0.401,0.227,1
"BASP1",5.23413769912228e-05,-0.251452715888408,0.132,0.273,1
"ORAI2",5.45996107671791e-05,-0.342666783050814,0.265,0.433,1
"CSNK1G3",5.57614897836823e-05,-0.383809096887189,0.321,0.487,1
"TBC1D5",5.62525813546194e-05,-0.31227706309277,0.884,0.907,1
"DGKZ",5.91762261628142e-05,0.368445686290531,0.433,0.28,1
"NCOA3",5.92679225611186e-05,-0.366182703030565,0.793,0.82,1
"LINC01588",5.96901380731549e-05,-0.363498186039664,0.287,0.447,1
"SMC6",6.44962246681828e-05,-0.375245373780276,0.261,0.413,1
"RFTN1",6.53093838254156e-05,0.383531038759517,0.568,0.407,1
"MPP7",6.55709196215715e-05,0.321608912890142,0.598,0.407,1
"TRG-AS1",6.7324486393419e-05,0.378667992039184,0.275,0.127,1
"GALK2",6.7497929038609e-05,0.381789146201917,0.352,0.2,1
"LDLRAP1",7.0612397777726e-05,0.262026082170847,0.256,0.107,1
"ESYT2",7.12369754308124e-05,0.318667904750805,0.814,0.693,1
"CLIC4",7.33893498565087e-05,-0.360253241664894,0.2,0.353,1
"PEAK1",7.54966882820723e-05,-0.338879048486542,0.259,0.427,1
"TSPAN32",7.90458674511255e-05,0.362797650608991,0.389,0.227,1
"KCNAB2",8.22253042158146e-05,0.365848363754639,0.684,0.507,1
"DMXL1",8.2445338542461e-05,-0.389405963202479,0.544,0.687,1
"TACC1",8.38675699837187e-05,0.373568554986843,0.681,0.507,1
"HCST",8.44610874890866e-05,0.338614274133019,0.562,0.393,1
"SNTB1",9.00361722226999e-05,0.398354723787741,0.803,0.7,1
"IRF8",9.37725348578554e-05,-0.360032682640004,0.446,0.593,1
"DNMT1",9.95026218624039e-05,0.291964089603258,0.515,0.347,1
"ACTN1",0.000100796330332646,0.353433951281565,0.464,0.287,1
"CYTH1",0.000101971292461855,0.288070303865754,0.925,0.833,1
"MAL",0.000107620286998738,0.250817885893686,0.275,0.113,1
"ZNF318",0.000111383982462231,-0.308437577492314,0.135,0.26,1
"CNOT6L",0.000112111604685161,0.399821826728546,0.643,0.533,1
"UBR5-AS1",0.000118498090478882,-0.286595081294572,0.147,0.28,1
"FKBP5",0.000122053603393523,0.360899945367368,0.767,0.607,1
"CYTIP",0.00012513617299754,0.265936490551532,0.818,0.673,1
"ITM2B",0.000134732843258941,0.276992940336682,0.821,0.68,1
"CHPT1",0.000138044929912934,-0.474499364770016,0.344,0.493,1
"SLC39A11",0.000142283772116412,0.311159230900833,0.748,0.64,1
"PXK",0.000147682094927662,-0.433129637307993,0.272,0.427,1
"AC008014.1",0.000159088603669679,-0.261985941239267,0.156,0.293,1
"TNRC18",0.000159505441262578,0.341538121561522,0.58,0.427,1
"BTK",0.000161200231802779,-0.338129094010822,0.246,0.393,1
"SMIM14",0.000164214495900674,-0.409161729399133,0.282,0.413,1
"DGCR2",0.000164908962373371,0.338466319244296,0.518,0.333,1
"UNC93B1",0.000166716265419478,-0.44434179616225,0.347,0.5,1
"MSI2",0.000176769073103439,0.439806105566211,0.676,0.553,1
"RETREG1",0.000183712952602478,0.361904969260835,0.347,0.187,1
"CCSER2",0.000192115560317201,0.30867278161161,0.63,0.473,1
"PHACTR2",0.000193257242703063,0.410846224558205,0.731,0.62,1
"CLASRP",0.000193625244594135,-0.378685195165087,0.428,0.573,1
"PCSK5",0.000203562390496162,0.399591260968599,0.495,0.333,1
"WAPL",0.000206278614233368,0.329155384960827,0.622,0.473,1
"TACC3",0.000209220676473496,0.310736921940078,0.282,0.147,1
"PIP4K2A",0.000218044334259442,0.282676421485192,0.871,0.773,1
"TSPAN3",0.000229145555065398,-0.278965074409022,0.158,0.293,1
"PELI2",0.000237396968279944,0.362349855652422,0.668,0.54,1
"PRAM1",0.000237505652804577,0.356757552750847,0.668,0.547,1
"FAM214A",0.000245008433440636,-0.377229434718307,0.386,0.52,1
"FNDC3B",0.000254114315016629,0.326404366232208,0.897,0.767,1
"VRK2",0.0002550036604126,-0.374595220398587,0.544,0.673,1
"PARP8",0.00026135454080225,0.346952539018966,0.917,0.813,1
"TSC22D1",0.000264118096959759,0.294945139212611,0.254,0.113,1
"RPS18",0.000282425913384794,-0.497029080828236,0.932,0.967,1
"RUNX2",0.000297779469730255,0.472298874759175,0.393,0.247,1
"NF1",0.000302321381210666,0.337447190918307,0.555,0.4,1
"AC009226.1",0.000304092129631195,-0.315002653171509,0.176,0.307,1
"MTF2",0.000304894040949977,0.310985747540786,0.435,0.287,1
"REL",0.000312423752097734,-0.406874810615818,0.725,0.793,1
"GNLY",0.00032685966713706,0.80466587906878,0.298,0.153,1
"TRAF3IP3",0.000332092568864066,0.294890775159646,0.695,0.547,1
"CTBP2",0.00034553552463189,0.379933166511211,0.687,0.56,1
"UBASH3B",0.000348442375620788,0.28748919993333,0.492,0.32,1
"RGCC",0.000362574984087549,0.285778754297724,0.313,0.153,1
"SOS1",0.000367709331266775,0.30778253374303,0.783,0.687,1
"SPG7",0.000368253942590607,0.318766964324601,0.474,0.313,1
"POLR2J3",0.000398426335926426,0.255115289132049,0.668,0.513,1
"LPIN2",0.000405159642579431,0.342865239857769,0.51,0.34,1
"CSTB",0.000412768966849722,0.296542856473098,0.298,0.16,1
"TNRC6C",0.000427813182886148,0.372452472242407,0.581,0.42,1
"MCUB",0.000443488486090334,0.27359174628335,0.674,0.547,1
"GLG1",0.000446450821095652,0.283919665787907,0.827,0.753,1
"ATG7",0.000447906568351435,0.281572834096442,0.948,0.867,1
"LINC01138",0.000451539713594718,0.288704477432498,0.518,0.353,1
"FTX",0.000456594358915704,0.322995483347635,0.93,0.893,1
"IGF1R",0.000458431197099813,0.436987813701275,0.564,0.44,1
"PIK3R5",0.000464067918182094,0.2783578974858,0.866,0.78,1
"NMT2",0.000464314601928424,0.325345883521465,0.275,0.14,1
"GPR155",0.000465472539212123,0.314274193540166,0.515,0.373,1
"SFI1",0.000496399280487942,0.297566506351593,0.406,0.253,1
"N4BP2",0.000498748825281818,0.265749137361976,0.275,0.133,1
"BMP2K",0.000503670517308674,-0.31677692793962,0.52,0.687,1
"RPL23",0.000525728935691765,-0.500488993151876,0.762,0.827,1
"HIF1A-AS3",0.000560842922026097,-0.379524783000005,0.363,0.493,1
"PRMT2",0.000561724401685399,0.253824874645235,0.697,0.56,1
"MAP4K3",0.00057402134808404,0.262217887025616,0.49,0.34,1
"CMTM7",0.000582856712786855,0.344836337974573,0.521,0.407,1
"BBS9",0.000610719776900589,0.345630058660235,0.464,0.313,1
"AC245297.3",0.000612344363618575,0.282801800595841,0.603,0.44,1
"HIPK2",0.000624950276811465,0.356985870866011,0.585,0.473,1
"FTO",0.00063826246248489,0.280545842160789,0.603,0.427,1
"CABIN1",0.000640408151513427,0.310296251777476,0.406,0.253,1
"CBLB",0.000670523722146041,0.255672337432064,0.686,0.52,1
"CEP85L",0.00068349701552493,0.311736528012717,0.769,0.66,1
"WDR82",0.000691670403668429,0.275369079711311,0.332,0.207,1
"TOX",0.000701193485767355,0.545657325193106,0.285,0.153,1
"GCC2",0.00070618994113082,0.301486040601171,0.619,0.48,1
"TYW1",0.000715257463430624,0.377899547014631,0.505,0.38,1
"ERN1",0.000718132766218496,0.295731345621429,0.425,0.273,1
"ZFP36L2",0.00072042938741904,0.25294354604889,0.888,0.82,1
"AP1B1",0.00072062842077814,-0.329704711920566,0.318,0.447,1
"FAM102A",0.000742788863991583,0.259608132860356,0.36,0.213,1
"SPN",0.000754606876395057,0.326079554723219,0.414,0.273,1
"CAPN2",0.000764543697770423,0.288012168749004,0.471,0.333,1
"TCHP",0.000770357367994721,0.324981096869075,0.56,0.42,1
"PIK3R1",0.000780317076341939,0.283432614222486,0.537,0.407,1
"BICD1",0.000792834936843407,-0.296912743795484,0.243,0.373,1
"ARFGEF1",0.000804288644345901,0.289340185620764,0.723,0.6,1
"PCNX1",0.000805349293095375,0.290332421919169,0.767,0.62,1
"SH3KBP1",0.000811981959777119,0.272567707741019,0.92,0.813,1
"PSMA1",0.000826957280431267,0.431123936213361,0.568,0.453,1
"CMC1",0.000834599596281013,0.28335641391213,0.345,0.2,1
"IGF2R",0.000846610460733506,0.298849396449583,0.678,0.56,1
"GSAP",0.000867547677156795,-0.281917427265282,0.689,0.793,1
"ACTG1",0.00088150566747112,0.29492655781048,0.866,0.727,1
"L3MBTL4",0.000888666986258713,-0.309462254037843,0.164,0.287,1
"PYHIN1",0.000930487411360704,0.362428653147921,0.298,0.167,1
"CHD3",0.000944195259725935,0.29138595499932,0.448,0.307,1
"RAPGEF6",0.000955758154402013,0.354859647026761,0.746,0.64,1
"CDC42EP3",0.000973274536096105,0.319097825389718,0.472,0.34,1
"HERC1",0.000976529197059359,0.254942542674919,0.827,0.733,1
"DDX60L",0.000988900174825187,0.308611388892501,0.738,0.607,1
"ITPRIP",0.000992731634288492,0.373594030409627,0.485,0.353,1
"HDAC4",0.00100824722289496,0.313472500635778,0.765,0.64,1
"DNMT3A",0.00101056743725268,0.25722642301187,0.329,0.187,1
"NBAS",0.00105269051524348,0.316601816060806,0.629,0.487,1
"HNMT",0.00106216435068673,-0.288789765875371,0.212,0.333,1
"LTB",0.00106352126502908,-0.324378414920111,0.686,0.833,1
"RPS17",0.00108109377468992,-0.44854542849598,0.783,0.84,1
"FNBP1",0.00108983170020119,0.265925069079791,0.933,0.873,1
"RNF149",0.00109413047355197,0.287815818742962,0.917,0.8,1
"SP110",0.00113532698298241,-0.305008542587108,0.847,0.853,1
"NAIP",0.00119106992827964,0.278536145583263,0.546,0.42,1
"AMD1",0.00120535969797851,0.288601707569534,0.655,0.547,1
"JAK1",0.0012169784442147,0.283876288500739,0.87,0.807,1
"CD53",0.0012190502501522,-0.290172593027975,0.792,0.853,1
"CNST",0.00122770089531512,0.316769023725381,0.515,0.38,1
"IQSEC1",0.00130202479066567,-0.332613018334148,0.779,0.787,1
"FER",0.00136439936445998,-0.343921301941423,0.409,0.547,1
"UBXN4",0.00138460028745111,0.276016231218839,0.681,0.587,1
"RABEP1",0.00138927872101888,-0.417638682875959,0.559,0.667,1
"CRBN",0.00143245537273112,0.262305322310724,0.415,0.293,1
"SMG6",0.00143250072401725,0.293580496385306,0.521,0.367,1
"NKG7",0.00144936149392602,0.694071341405205,0.292,0.173,1
"ELL",0.00144988560783406,0.269779518740606,0.388,0.247,1
"STIM2",0.00146117279663093,-0.331326180911095,0.56,0.66,1
"DAPP1",0.00146722817249688,-0.349858400141705,0.404,0.52,1
"EPC1",0.00149263598986725,0.276084251767097,0.796,0.7,1
"DENND2D",0.00156388658569402,0.260736376178024,0.274,0.147,1
"SMAP2",0.0015848895069717,-0.275268487638357,0.842,0.867,1
"DENND4A",0.00161213490311743,-0.310095408662954,0.806,0.82,1
"GSTP1",0.00164810171675044,0.26212945494196,0.441,0.313,1
"RBL1",0.00169213217280011,0.267999648450479,0.259,0.14,1
"RASSF3",0.0017166022094188,0.260206045251597,0.71,0.573,1
"UBE2E2",0.00172798791670044,-0.319058205544225,0.806,0.827,1
"TMEM62",0.0018196344671962,-0.301102966504147,0.202,0.313,1
"RPS27",0.00183636105431935,-0.507775941108762,0.967,0.967,1
"ANKH",0.00187868731033715,0.256067288862615,0.344,0.207,1
"NOTCH2NLC",0.00192932028962572,0.311403486431548,0.332,0.22,1
"RNF213",0.00194203251515508,0.260403876113864,0.985,0.933,1
"CPNE8",0.0019464681314345,0.350953440827485,0.578,0.467,1
"ADD3",0.00200769392413549,0.26698270568092,0.756,0.633,1
"MARK3",0.0020148490492092,0.269089470148772,0.775,0.7,1
"NAA16",0.00205567686547805,0.252839091201141,0.432,0.3,1
"RASGEF1B",0.00206402340729244,-0.31261330741047,0.503,0.613,1
"SFMBT2",0.0021391491735265,0.293620774919606,0.58,0.467,1
"RPL21",0.00214287903991414,-0.425050167815809,0.855,0.907,1
"OSBPL5",0.00220059665664906,0.297194565347227,0.366,0.247,1
"CXCR4",0.00220069597133555,-0.372518827925371,0.402,0.493,1
"RPL11",0.00224071041972931,-0.323174813266659,0.954,0.98,1
"MBOAT1",0.00230899074185798,0.349658504229841,0.414,0.307,1
"CPB2-AS1",0.00231998987925015,0.256859420804026,0.59,0.447,1
"SEC62",0.00238535488496856,-0.329532572233952,0.544,0.64,1
"TMEM154",0.00241385458977775,-0.279454302214661,0.607,0.693,1
"LMTK2",0.00241855261841934,0.277402132742339,0.487,0.34,1
"CPQ",0.00247127369764147,0.301534166408038,0.756,0.62,1
"PIKFYVE",0.00250263669528277,-0.265265937152938,0.466,0.587,1
"RTN3",0.00261271704488618,0.308648391191772,0.528,0.4,1
"MEF2A",0.00261538740458787,-0.263462639719513,0.899,0.88,1
"RPS19",0.00264455304841124,-0.355942324380743,0.928,0.96,1
"SLC2A3",0.00266145988242896,0.326175443816698,0.752,0.627,1
"DDX50",0.00270281125737935,0.278249992282854,0.428,0.313,1
"LRMP",0.00276011885011146,-0.385325646390263,0.482,0.553,1
"PRKAG2",0.00277857666931222,0.258212931560088,0.837,0.767,1
"PAXBP1",0.00280443329758035,0.303413838916177,0.469,0.34,1
"TMEM65",0.00293930751517626,0.291392223409848,0.423,0.293,1
"P2RY8",0.00296362985901081,-0.277928503723664,0.643,0.713,1
"HCK",0.00299109612454286,-0.280105235261277,0.806,0.887,1
"NKTR",0.00305112922001071,0.265816035280158,0.845,0.787,1
"NUP210",0.00305135735937251,0.25321435945377,0.581,0.467,1
"FNTA",0.00306766529470863,0.304392910304216,0.388,0.267,1
"RPL41",0.00307368735835237,-0.407725234865049,0.985,0.993,1
"NFIA",0.00313201625293277,0.346819336622735,0.303,0.193,1
"COMMD10",0.00313274458160764,0.318483251583704,0.715,0.593,1
"PDE7B",0.00313657720849835,-0.336950864060882,0.161,0.253,1
"MACF1",0.00313764785583085,0.254938939060732,0.832,0.767,1
"ATF7IP",0.0031381879802231,-0.318224192841622,0.756,0.767,1
"DGKD",0.00316532618355028,-0.260639764345799,0.591,0.7,1
"RCOR1",0.0031836773106305,0.257332375955819,0.635,0.48,1
"NUP88",0.00319009441366197,-0.336322375196293,0.303,0.413,1
"RASSF5",0.00326039375228159,0.277589580729791,0.397,0.287,1
"DCAF5",0.00341456521023886,0.251862495129417,0.552,0.453,1
"RAF1",0.00343940183954496,0.250400956300415,0.671,0.56,1
"ALMS1",0.00347810690096831,0.27016508642496,0.251,0.14,1
"ARHGAP17",0.00352287788246791,-0.28858576116266,0.617,0.687,1
"RNF216",0.00353778535197641,0.276710739232145,0.73,0.64,1
"VCL",0.00358536038434794,0.291917549349079,0.487,0.34,1
"AKT3",0.00358714118396495,0.346932257161388,0.627,0.513,1
"MFF",0.00360473637832613,-0.303508567102236,0.274,0.387,1
"CARD8",0.00365484791005213,0.293082861261772,0.503,0.4,1
"IL6R",0.00365564758872722,0.275902528703702,0.573,0.447,1
"LRRC8C",0.00377381030765676,0.274757435265875,0.699,0.62,1
"CYREN",0.00377976494912167,0.251456691151955,0.29,0.173,1
"PARVB",0.0037880000630444,-0.300644086112142,0.248,0.367,1
"RAP1B",0.00405667443894129,0.260714689158435,0.891,0.767,1
"NEK7",0.00409118007877994,0.266914160201601,0.653,0.573,1
"CASK",0.00423153479150721,0.294861406290857,0.651,0.54,1
"RASA1",0.00425505854789057,0.273921154276907,0.713,0.593,1
"NACC2",0.00436168784317279,0.260695213667654,0.389,0.28,1
"MBNL3",0.00442069992740599,-0.266804524244019,0.223,0.34,1
"RPS8",0.00452197432048389,-0.314368056481406,0.868,0.887,1
"PTP4A2",0.00460058629742461,0.263115346045661,0.632,0.56,1
"WASHC4",0.00462218310654284,-0.279720179070369,0.658,0.733,1
"ADARB1",0.00475773826681808,-0.333496815722185,0.226,0.327,1
"SCIMP",0.00494717002500812,-0.315105442555941,0.37,0.467,1
"VPS54",0.00504782723150933,0.298497405015431,0.44,0.32,1
"S100Z",0.00527496421941171,0.263200763777612,0.459,0.34,1
"TMEM71",0.00537851565222545,0.264448793660997,0.441,0.333,1
"CD52",0.00539299197674878,-0.398896931663026,0.782,0.8,1
"LPAR6",0.00544257019843139,0.254440925203778,0.397,0.293,1
"TNFAIP3",0.00546600397709545,0.343806658627074,0.42,0.307,1
"TRIM14",0.00558554551471175,0.274135236769435,0.451,0.347,1
"PELI1",0.00562989735406457,-0.352945851637936,0.759,0.8,1
"CHCHD10",0.00570422675924325,-0.342913175237785,0.274,0.38,1
"RAB2A",0.00594825441742159,0.289438412382962,0.761,0.673,1
"SUPT3H",0.00601859494687259,0.336876084444672,0.469,0.36,1
"NIN",0.00607734364983689,-0.319454052472171,0.713,0.793,1
"NIPAL3",0.00613775274413194,0.334995181890589,0.366,0.253,1
"DAAM1",0.00617904295044802,-0.277855783324744,0.189,0.287,1
"YPEL2",0.00632792182350302,0.271266422293285,0.419,0.307,1
"HIVEP3",0.00639699148863912,0.296397550559813,0.425,0.307,1
"SLC49A4",0.00642402010676513,0.284173063308616,0.43,0.34,1
"RPS27A",0.00651163309598842,-0.436887245716545,0.948,0.973,1
"FAM13B",0.00652192938800561,-0.261280791382064,0.534,0.627,1
"LRMDA",0.00673850748496216,0.254356544995516,0.93,0.907,1
"LRPPRC",0.00689181315114641,0.261963057068256,0.479,0.387,1
"DIAPH1",0.00702506103399591,0.261261603417979,0.793,0.727,1
"RPL18",0.00703879370390115,-0.314019041163921,0.847,0.933,1
"AC009554.1",0.00748884601393831,-0.294324788953272,0.298,0.407,1
"TAPT1",0.00758964143476264,-0.426182176806049,0.337,0.42,1
"PLBD1",0.0077768836553023,0.285928461384571,0.415,0.307,1
"NHSL1",0.00794779471759096,0.299833245797455,0.292,0.193,1
"ITGB1",0.00806685964154912,0.327877886269272,0.568,0.46,1
"PRKD3",0.00810494945672752,-0.316352712228527,0.342,0.453,1
"ZFP36L1",0.00821885189922185,-0.266857059275174,0.549,0.66,1
"EEF1G",0.00825851303942509,-0.256663739078499,0.809,0.84,1
"NCF1",0.0082633937943264,-0.255843448192795,0.726,0.787,1
"SLC9A9",0.00827031282518049,0.266288689671132,0.793,0.707,1
"CFD",0.00864623835069808,-0.349135665434708,0.365,0.48,1
"MDM4",0.00868335751212962,-0.278852197828547,0.669,0.707,1
"CTSH",0.0087065527605679,-0.285837061520375,0.314,0.407,1
"RHBDD1",0.00899623610952451,-0.291931316809366,0.42,0.513,1
"LTA4H",0.00903893925335609,-0.262923748689228,0.459,0.56,1
"GNA12",0.00904385090547091,-0.329026387385819,0.254,0.353,1
"RALGAPA2",0.00915950193204821,0.251961163044349,0.624,0.507,1
"ARRDC3",0.00965568195151472,0.277229926282747,0.322,0.227,1
"UBN1",0.00966976014580458,0.254946076265198,0.484,0.367,1
"ZHX2",0.00976982559352728,-0.262796710373057,0.508,0.607,1
"RPL13A",0.00995124852563135,-0.334793141471414,0.971,0.98,1
"TIAM1",0.0100332197645897,0.265612787025179,0.524,0.42,1
"ALCAM",0.0101673170674577,-0.32301670486029,0.239,0.333,1
"GRN",0.010267055929573,-0.260669052364028,0.565,0.647,1
"GARS-DT",0.0102787534838078,0.250636499853002,0.607,0.487,1
"WDR20",0.0107602749430888,0.264856262957194,0.389,0.293,1
"SOAT1",0.0109064329141393,0.264653428829226,0.422,0.327,1
"MAP2K5",0.0109353079313894,0.293427249962012,0.544,0.453,1
"MBD4",0.0109501419324987,-0.253610605410298,0.272,0.373,1
"KMO",0.0110689463020204,-0.267847130335792,0.195,0.273,1
"RPL34",0.0114063976722463,-0.40807586672106,0.93,0.947,1
"KCNQ5",0.0114902413599171,-0.462083016990208,0.331,0.413,1
"NBEAL1",0.0117222316093648,0.277519061298256,0.363,0.273,1
"AC008105.3",0.0119450536672294,0.285770697633131,0.409,0.307,1
"CRLF3",0.0125371669945855,0.279592382644215,0.578,0.493,1
"RPL39",0.0126615783204094,-0.459630748290053,0.77,0.827,1
"ATP6V1D",0.0131770412859412,0.262143772404389,0.298,0.207,1
"SUPT16H",0.0134454676613054,-0.257734045040446,0.296,0.393,1
"RPL8",0.0134484535515231,-0.302073728998788,0.883,0.893,1
"CAMK2G",0.0134634802488619,0.261152588535449,0.456,0.353,1
"UBB",0.0141978003876873,-0.393550205561018,0.402,0.487,1
"TGFBR2",0.014961771959409,0.261501020741421,0.852,0.78,1
"SYNGR2",0.0149666402893376,-0.280175326499551,0.28,0.38,1
"FGD2",0.0153075593552729,-0.261573973588866,0.609,0.68,1
"ALOX5",0.0156072444123732,-0.265885704143755,0.64,0.7,1
"PDSS2",0.0164219687790847,0.252760944470908,0.609,0.493,1
"TRAK1",0.0164321246583551,-0.357103507429589,0.643,0.68,1
"CALHM6",0.0174176234872615,-0.307724084961338,0.259,0.353,1
"KLHL5",0.0182025998555219,-0.254964550604215,0.477,0.593,1
"RPL26",0.0186505175537537,-0.409432970571384,0.767,0.8,1
"LINC01619",0.0190618716907411,0.285961167491484,0.718,0.647,1
"AL645568.1",0.0192729118185581,0.251348359094909,0.321,0.233,1
"RETREG3",0.0197211650505365,0.254642677522755,0.287,0.2,1
"TTC39C",0.0201054657031728,0.282177098223594,0.616,0.493,1
"SLC24A4",0.0215989339352299,0.273932839109854,0.332,0.24,1
"PFDN5",0.027167447781238,-0.261549910972481,0.594,0.693,1
"RPL35A",0.0276154088783775,-0.400670057422524,0.822,0.867,1
"KYNU",0.0282606143361373,-0.276467269556018,0.687,0.713,1
"RILPL2",0.0283278748219916,-0.256259642631615,0.484,0.567,1
"ATP2B1",0.0285179550248795,-0.289720572088986,0.897,0.873,1
"EEF1D",0.0291628456264164,-0.272373000625419,0.697,0.74,1
"CR1",0.0297534834540046,-0.289107191404284,0.337,0.427,1
"ST6GALNAC3",0.0301945619559106,-0.290204584959087,0.41,0.493,1
"RPL22",0.0304318454175169,-0.376722495056373,0.687,0.753,1
"MPEG1",0.0324697897521965,-0.290558810026976,0.479,0.553,1
"CCR7",0.0341405363716331,0.346216724310482,0.459,0.407,1
"RPL18A",0.0364948395007607,-0.350099187180375,0.837,0.847,1
"SH3BP5",0.0366191717080699,-0.322105630904049,0.438,0.48,1
"RPS28",0.0398569003701989,-0.304146886627727,0.936,0.96,1
"NR3C2",0.0404366816168249,0.346745110207841,0.474,0.4,1
"S100A8",0.0410780015248381,-0.261067964070859,0.808,0.853,1
"TMTC2",0.0432565173426987,0.359435654648235,0.619,0.553,1
"SREBF2",0.044475919700664,-0.30526347406722,0.534,0.58,1
"RPL30",0.0458124578743797,-0.43707653738303,0.881,0.9,1
"ATG13",0.0468730923531072,-0.257556929073469,0.283,0.347,1
"LRCH1",0.0470732697953889,-0.291487118157637,0.412,0.48,1
"VCAN",0.0471056216043477,0.335013276759462,0.855,0.86,1
"MIA2",0.0487027903397423,0.250514204670969,0.423,0.36,1
"PHTF2",0.0494225323770285,-0.274061361179293,0.58,0.607,1
"PIK3AP1",0.0528222319839707,-0.263593929603925,0.583,0.633,1
"IDI1",0.0555178738149519,-0.295350895530615,0.36,0.42,1
"FRMD3",0.0555929577728792,0.295331438690942,0.29,0.22,1
"RPS10",0.055658877947053,-0.429323701743545,0.648,0.687,1
"TMEM131",0.0588486459557364,-0.266882839267935,0.809,0.807,1
"RPL36",0.059902416093866,-0.333907698173376,0.795,0.807,1
"XRCC4",0.0606082017788322,0.271798623730049,0.406,0.353,1
"PLCB1",0.0633208708380515,0.403705794136127,0.754,0.793,1
"RPL37A",0.0660212780471416,-0.3085628964739,0.945,0.96,1
"EEFSEC",0.0668927380642741,0.254125935022591,0.401,0.333,1
"CRADD",0.0681266109081512,0.253273133576015,0.318,0.253,1
"RPS13",0.0715773597935673,-0.39288051749207,0.72,0.753,1
"ATP5MC2",0.0779790321180357,-0.353083895707153,0.423,0.48,1
"DOP1B",0.0853081170456007,-0.296336581976725,0.365,0.433,1
"VAMP8",0.0926621091965619,-0.283241495497105,0.419,0.467,1
"RPS21",0.093612401536661,-0.495889775531772,0.87,0.887,1
"RPL12",0.0961205936394157,-0.250579230102666,0.7,0.76,1
"RPS29",0.0961696223644957,-0.554301881092901,0.901,0.913,1
"RPL23A",0.0966789682510848,-0.290466863394859,0.93,0.933,1
"CRIP1",0.0991410451878918,-0.256576253190387,0.415,0.5,1
"RPS15",0.108113570031381,-0.335803647861795,0.917,0.9,1
"CDK6",0.111492388337201,0.355302776749123,0.464,0.407,1
"USP10",0.11571476044958,-0.270306640293061,0.445,0.487,1
"SP140L",0.121430981542101,-0.291980710949874,0.498,0.553,1
"AIF1",0.127916239641223,-0.260119095298877,0.585,0.633,1
"DPH6",0.127948956099646,-0.317508516844282,0.228,0.273,1
"RPL28",0.128501924314616,-0.32278344883995,0.92,0.96,1
"GCNT2",0.1403052951347,-0.252141633277061,0.484,0.527,1
"PPP4R3B",0.150701747625874,-0.257062779055018,0.541,0.56,1
"RPS20",0.154566650171444,-0.262720098170869,0.754,0.767,1
"RPS3",0.193543501838049,-0.264002550343049,0.914,0.927,1
"NCL",0.223652672757395,-0.286839920086942,0.572,0.6,1
"RPL37",0.227058719957636,-0.280785613202548,0.853,0.887,1
"CARMIL1",0.23123797043737,-0.259581155196321,0.428,0.44,1
"RPL17",0.234292802159433,-0.35085582125762,0.814,0.86,1
