"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITPR1",9.86033651443079e-23,-1.01177850174634,0.585,0.84,3.60898176764681e-18
"LEF1",1.35099874217194e-22,1.38763157503443,0.699,0.227,4.94479049622351e-18
"TC2N",1.89082751062468e-22,1.11464692985038,0.743,0.287,6.92061777163741e-18
"BTLA",3.01099428273412e-22,-0.591114874523285,0.068,0.36,1.10205401742351e-17
"ARHGAP24",5.82161029258886e-22,-1.06203830409854,0.612,0.88,2.13076758319045e-17
"PAWR",8.21304798567055e-22,-0.520821462498331,0.049,0.313,3.00605769323528e-17
"RAB30",8.77587483081768e-22,-0.713851864176177,0.085,0.38,3.21205794682758e-17
"AAK1",2.53480033206443e-21,0.880600953450053,0.906,0.64,9.27762269538902e-17
"PRKCQ",4.04939810728142e-21,1.04054987726019,0.632,0.18,1.48212020124607e-16
"SIPA1L3",4.19352408114563e-21,-1.02953864580865,0.593,0.86,1.53487174894011e-16
"TCF7",8.49132518082897e-21,1.06833223057878,0.694,0.287,3.10790992943521e-16
"TNIK",2.11709756448943e-20,1.0239019088639,0.674,0.233,7.74878879578778e-16
"HLA-DPB1",2.31241824255822e-19,-0.899069188818535,0.58,0.82,8.46368200958733e-15
"TCF4",3.47550571701046e-19,-0.939079496379682,0.283,0.62,1.272069847483e-14
"THEMIS",5.56510133133413e-19,1.18979471118864,0.666,0.233,2.0368827382816e-14
"HLA-DQB1",7.6815733565326e-19,-0.844163570082089,0.621,0.853,2.8115326642245e-14
"HVCN1",9.39673363257355e-19,-0.850376230275662,0.296,0.633,3.43929847685825e-14
"BACH2",9.40503014084804e-19,-1.24737109937365,0.708,0.907,3.44233508185179e-14
"RORA",9.91795057709209e-19,1.12692028252993,0.648,0.233,3.63006909072148e-14
"MARCH3",1.03117089462709e-18,-1.02830626212334,0.164,0.48,3.7741885914246e-14
"ADAM19",1.54135428365565e-18,-0.74038349578249,0.272,0.66,5.64151081360805e-14
"TRAC",2.61637137733932e-18,0.789910320399778,0.653,0.207,9.57618087819964e-14
"PRKCA",6.35283211305975e-18,1.00966522001189,0.826,0.513,2.325200081701e-13
"HLA-DPA1",7.31468057211513e-18,-0.75634370045105,0.562,0.88,2.67724623619986e-13
